director_name,mean_imdb_score
Molly Bernstein,7.1
Oliver Hirschbiegel,7.1
Olivier Assayas,7.1
Peter Care,7.1
Peter Ho-Sun Chan,7.1
Peter Landesman,7.1
Prachya Pinkaew,7.1
Reed Cowan,7.1
Russell Crowe,7.1
Sara Newens,7.1
Sarah Smith,7.1
Shane Acker,7.1
Spencer Susser,7.1
Terence Davies,7.1
Tim Hunter,7.1
Tomas Alfredson,7.1
Vincente Minnelli,7.1
Stephen Frears,7.09
James Mangold,7.08
Michael Mann,7.08
Nick Cassavetes,7.08
Albert Hughes,7.07
Ridley Scott,7.07
Trey Parker,7.07
David Cronenberg,7.06
David Mamet,7.05
John Lee Hancock,7.05
Tommy Lee Jones,7.05
Alan Parker,7.03
Boaz Yakin,7.03
Christopher McQuarrie,7.03
Guy Hamilton,7.03
Scott Cooper,7.03
Rob Reiner,7.02
Alison Maclean,7
AndrÃ© Ã˜vredal,7
Andrew Niccol,7
Angelo Pizzo,7
Anthony Russo,7
Arie Posin,7
Ava DuVernay,7
Ben Younger,7
Bill Plympton,7
Brenda Chapman,7
Chris Butler,7
Claudia Sainte-Luce,7
Clive Barker,7
Colin Trevorrow,7
Darnell Martin,7
David Duchovny,7
David Schwimmer,7
Dena Seidel,7
Don Bluth,7
Drew Goddard,7
Ed Harris,7
Emilio Estevez,7
Finn Taylor,7
Francis Lawrence,7
Fred Schepisi,7
George Sidney,7
Gillian Armstrong,7
Greg Berlanti,7
Guy Maddin,7
J.C. Chandor,7
James McTeigue,7
Jay Levey,7
Jim Hanon,7
John Hillcoat,7
John Landis,7
Jon Poll,7
Jon Shear,7
Joon-ho Bong,7
Josef Rusnak,7
Joseph L. Mankiewicz,7
Juan Carlos Fresnadillo,7
Karan Johar,7
Kelly Asbury,7
Larry Blamire,7
Larry Clark,7
Len Wiseman,7
Luca Guadagnino,7
Marc Abraham,7
Mark Romanek,7
Mars Callahan,7
Mike Binder,7
Mike Cahill,7
Patricia Cardoso,7
Penelope Spheeris,7
