genres,mean_imdb_score
Animation|Comedy|Family|Fantasy|Sci-Fi,1
Adventure|Animation|Drama|Family|Fantasy,1
Drama|Music|Musical,1
Action|Comedy|Romance|Thriller,1
Animation|Comedy|Family|Fantasy|Mystery,1
Action|Adventure|Romance|Thriller,1
Drama|History|Romance,1
Action|Drama|Fantasy|Romance,1
Action|Drama|Sci-Fi,1
Animation|Comedy|Fantasy,1
Action|Fantasy,1
Action|Animation|Comedy|Family,1
Action|Adventure|Comedy|Romance|Thriller,1
Adventure|Animation|Comedy,1
Action|Adventure|Drama|Fantasy|War,1
Fantasy|Mystery|Romance|Sci-Fi|Thriller,1
Adventure|Animation|Fantasy,1
Action|Drama|Fantasy|Horror|War,1
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,1
Adventure|Animation|Family|Fantasy|Musical,1
Action|Crime|Mystery|Sci-Fi|Thriller,1
Adventure|Drama|History|Romance,1
Action|Adventure|Fantasy|War,1
Action|Adventure|Comedy|Romance|Thriller|Western,1
Biography|Drama|Sport|War,1
Comedy|Drama|Family|Musical,1
Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,1
Adventure|Drama|Thriller|War,1
Action|Fantasy|Sci-Fi|Thriller,1
Adventure|Biography|Drama|History|Sport|Thriller,1
Crime|Drama|Fantasy,1
Adventure|Biography|Crime|Drama|Western,1
Action|War,1
Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,1
Animation|Family|Fantasy,1
Action|Fantasy|Horror|Sci-Fi,1
Drama|Fantasy|Sport,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,1
Drama|Fantasy|Mystery|Romance|Thriller,1
Action|Adventure|Drama|History|Romance|War,1
Drama|Fantasy|Mystery|Romance,1
Fantasy|Horror|Mystery|Romance,1
Adventure|Comedy|Family|Romance|Sci-Fi,1
Action|Comedy|Mystery|Romance,1
Action|Biography|Drama|History|Thriller|War,1
Comedy|Family|Romance|Sci-Fi,1
Action|Comedy|Crime|Drama,1
Drama|Music|Romance|War,1
Action|Comedy|Drama|Family|Thriller,1
Adventure|Animation|Drama|Family|History|Musical|Romance,1
Action|Adventure|Drama|Romance|Sci-Fi,1
Action|Adventure|Comedy|Family|Romance,1
Adventure|Animation|Comedy|Drama|Family|Fantasy,1
Biography|Drama|History|Musical,1
Adventure|Drama|Horror|Thriller,1
Action|Drama|Sport|Thriller,1
Drama|Musical|Romance|Thriller,1
Adventure|Comedy|Crime|Family|Musical,1
Action|Adventure|Romance|Sci-Fi,1
Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,1
Drama|History|Horror,1
Comedy|Family|Musical|Romance,1
Romance|Sci-Fi|Thriller,1
Adventure|Comedy|Drama|Fantasy|Musical,1
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,1
Adventure|Comedy|Family|Fantasy|Romance|Sport,1
Adventure|Horror|Mystery,1
Action|Biography|Drama|History|War,1
Adventure|Comedy|Crime|Drama|Family,1
Action|Biography|Crime|Drama|Thriller,1
Action|Adventure|Comedy|Crime|Music|Mystery,1
Biography|Drama|History|Music,1
Action|Adventure|Comedy|Drama|War,1
Adventure|Crime|Drama|Western,1
Comedy|Drama|Thriller,1
Action|Comedy|Crime|Music|Romance|Thriller,1
Crime|Romance|Thriller,1
Action|Drama|Fantasy|Thriller|Western,1
Action|Drama|Mystery|Thriller|War,1
Action|Adventure|Family|Fantasy|Sci-Fi,1
Adventure|Comedy|Family|Musical,1
Comedy|Family|Romance|Sport,1
Action|Crime|Drama|Thriller|War,1
Action|Adventure|Crime|Drama|Mystery|Thriller,1
Action|Fantasy|Western,1
Action|Biography|Drama|Thriller|War,1
Adventure|Comedy|Sci-Fi|Western,1
Fantasy|Horror|Romance,1
Action|Adventure|Drama|Romance|War,1
Adventure|Comedy|Crime|Romance,1
Action|Adventure|Drama|Romance|Thriller,1
Action|Adventure|Crime|Fantasy|Mystery|Thriller,1
Biography|Crime|Drama|Music,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,1
Action|Adventure|Comedy|Music|Thriller,1
Adventure|Animation|Comedy|Crime|Family,1
Comedy|Romance|Sci-Fi|Thriller,1
Comedy|Crime|Family|Romance,1
Action|Horror|Mystery|Sci-Fi|Thriller,1
Adventure|Animation|Comedy|Fantasy|Romance,1
Action|Adventure|Family|Thriller,1
Adventure|Comedy|Drama|Romance|Thriller|War,1
Animation|Comedy|Family|Horror|Sci-Fi,1
Action|Biography|Drama,1
Action|Adventure|Drama|Thriller|Western,1
Adventure|Family|Fantasy|Sci-Fi,1
Documentary|War,1
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,1
Action|Biography|Drama|History,1
Documentary|Drama|Sport,1
Adventure|Comedy|Family|Sci-Fi,1
Biography|Drama|Family|History|Sport,1
Biography|Comedy|Drama|History|Music,1
Comedy|Drama|Romance|Sci-Fi,1
Adventure|Animation|Comedy|Family|War,1
Action|Western,1
Action|Adventure|Comedy|Drama|Thriller,1
Action|Adventure|Drama|Family,1
Action|Thriller|Western,1
Action|Drama|Fantasy|Horror|Thriller,1
Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1
Crime|Drama|Mystery|Sci-Fi|Thriller,1
Comedy|Crime|Musical,1
Comedy|Family|Fantasy|Sport,1
Animation|Drama|Family|Fantasy|Musical|Romance,1
Comedy|Horror|Musical|Sci-Fi,1
Crime|Drama|Sport,1
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,1
Action|Adventure|Crime|Drama|Romance,1
Adventure|Fantasy|Mystery,1
Biography|Crime|Drama|History|Western,1
Drama|Fantasy|War,1
Drama|Mystery|War,1
Adventure|Biography,1
Action|Horror|Romance,1
Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,1
Action|Crime|Drama|History|Western,1
Comedy|Family|Fantasy|Music|Romance,1
Adventure|Comedy|Crime|Music,1
Action|Adventure|Comedy|Sci-Fi|Thriller,1
Action|Crime|Drama|Western,1
Action|Adventure|Comedy|Family|Romance|Sci-Fi,1
Action|Fantasy|Romance|Sci-Fi,1
Comedy|Crime|Mystery|Romance,1
Biography|Crime|Documentary|History,1
Action|Drama|Music|Romance,1
Adventure|Comedy|Family|Fantasy|Horror|Mystery,1
Adventure|Drama|Thriller|Western,1
Action|Biography|Drama|History|Romance|Western,1
Biography|Drama|Family,1
Action|Adventure|Comedy|Crime|Family|Romance|Thriller,1
Comedy|Family|Music,1
Action|Comedy|Music,1
Adventure|Comedy|Crime,1
Biography|Crime|Drama|History|Thriller,1
Crime|Drama|History,1
Drama|Music|Mystery|Romance|Thriller,1
Action|Adventure|Fantasy|Horror,1
Crime|Drama|Mystery|Romance,1
Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,1
Adventure|Family|Fantasy|Music|Musical,1
Action|Adventure|Animation|Comedy|Fantasy,1
Adventure|Comedy|Horror|Sci-Fi,1
Biography|Comedy|Drama|Family|Sport,1
Drama|Fantasy|Romance|Thriller,1
Comedy|Drama|Musical|Romance|War,1
Drama|History|Music|Romance|War,1
Comedy|History,1
Animation|Comedy|Fantasy|Musical,1
Action|Comedy|Documentary,1
Adventure|Comedy|Drama|Family|Romance,1
Adventure|Comedy|Drama|Family|Mystery,1
Drama|Family|Music|Romance,1
Adventure|Animation|Family|Musical,1
Animation|Comedy|Drama|Family|Musical,1
Adventure|Comedy|Fantasy|Music|Sci-Fi,1
Action|Adventure|Drama|Mystery,1
Comedy|Crime|Family|Mystery|Romance|Thriller,1
Action|Adventure|Drama|Romance|Western,1
Adventure|Crime|Mystery|Sci-Fi|Thriller,1
Adventure|Comedy|Crime|Drama,1
Adventure|Drama|Horror|Mystery|Thriller,1
Crime|Fantasy|Horror,1
Animation|Family|Fantasy|Mystery,1
Comedy|Family|Music|Musical,1
Drama|Mystery|Romance|Thriller|War,1
Action|Crime|Drama|Sport,1
Drama|Fantasy|Horror|Mystery,1
Comedy|Drama|Music|War,1
Biography|Comedy|Drama|History|Music|Musical,1
Animation|Drama|Mystery|Sci-Fi|Thriller,1
Comedy|Drama|Mystery|Romance|Thriller|War,1
Biography|Comedy|Musical,1
Crime|Drama|Western,1
Action|Adventure|Animation|Family|Sci-Fi|Thriller,1
Comedy|Family|Fantasy|Sci-Fi,1
Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,1
Adventure|Comedy|Romance,1
Family|Fantasy|Music,1
Crime|Drama|Music|Thriller,1
Action|Drama|Fantasy|Mystery|Thriller,1
Biography|Crime|Drama|History,1
Biography|Drama|Family|Sport,1
Adventure|Fantasy|Mystery|Thriller,1
Action|Horror|Romance|Sci-Fi|Thriller,1
Action|Drama|History|Romance|War|Western,1
Action|Animation|Sci-Fi|Thriller,1
Action|Animation|Comedy|Crime|Family,1
Drama|Family|Music|Musical,1
Comedy|Drama|Family|Fantasy|Sci-Fi,1
Adventure|Comedy|Family|Fantasy|Musical,1
Adventure|Crime|Drama|Romance,1
Comedy|Mystery|Sci-Fi|Thriller,1
Action|Animation|Sci-Fi,1
Action|Comedy|Crime|Family,1
Action|Crime|Sci-Fi,1
Biography|Crime|Drama|Western,1
Adventure|Comedy|Family|Music|Romance,1
Comedy|Family|Music|Romance,1
Adventure|Fantasy|Horror|Mystery|Thriller,1
Crime|Drama|Musical|Romance,1
Family|Music|Romance,1
Biography|Drama|History|Thriller|War,1
Adventure|Crime|Drama|Mystery|Western,1
Comedy|Crime|Drama|Thriller|War,1
Fantasy|Horror|Mystery,1
Action|Comedy|Drama|War,1
Comedy|Drama|Fantasy|Music|Romance,1
Comedy|Mystery|Romance,1
Biography|Crime|Drama|War,1
Biography|Comedy|Drama|War,1
Action|Adventure|Animation|Family,1
Comedy|Crime|Family|Sci-Fi,1
Adventure|Family|Sci-Fi,1
Adventure|Comedy|Romance|Sci-Fi,1
Action|Adventure|Comedy|Family,1
Biography|Comedy|Crime|Drama|Romance,1
Action|Adventure|Comedy|Fantasy|Mystery,1
Action|Adventure|Drama|Thriller|War,1
Crime|Drama|Music|Romance,1
Adventure|Animation|Comedy|Crime,1
Adventure|Comedy|Fantasy|Sci-Fi,1
Comedy|Drama|Family|Fantasy|Musical,1
Drama|Fantasy|Music|Romance,1
Drama|History|Romance|Western,1
Action|Comedy|War,1
Adventure|Comedy|Music|Sci-Fi,1
Drama|Family|Musical,1
Action|Comedy|Drama|Music,1
Adventure|Comedy|Drama|Fantasy,1
Fantasy|Horror|Sci-Fi,1
Comedy|Romance|Thriller,1
Adventure|Comedy|Drama|Romance|Sci-Fi,1
Drama|Music|Mystery|Romance,1
Adventure|Biography|Drama|War,1
Action|Comedy|Drama,1
Action|Drama|Romance|Thriller,1
Action|Biography|Drama|History|Romance|War,1
Horror|Musical|Sci-Fi,1
Crime|Drama|Musical,1
Animation|Comedy|Drama|Romance,1
Comedy|Crime|Musical|Romance,1
Comedy|Crime|Musical|Mystery,1
Crime|Horror,1
Adventure|Biography|Drama|History,1
Action|Crime|Horror|Sci-Fi|Thriller,1
Biography|Drama|Family|Musical|Romance,1
Animation|Biography|Drama|War,1
Adventure|Comedy|Drama|Family,1
Documentary|Drama|War,1
Comedy|Family|Fantasy|Musical,1
Crime|Drama|Musical|Romance|Thriller,1
Fantasy|Horror|Romance|Thriller,1
Crime|Documentary|Drama,1
Adventure|Documentary|Short,1
Comedy|Drama|Music|Musical,1
Action|Sport,1
Action|Comedy|Drama|Thriller,1
Drama|Horror|Mystery|Sci-Fi|Thriller,1
Animation|Biography|Documentary|Drama|History|War,1
Biography|Crime|Drama|Romance|Thriller,1
Comedy|Crime|Drama|Mystery|Thriller,1
Biography|Crime|Drama|Mystery|Thriller,1
Crime|Horror|Music|Thriller,1
Crime|Thriller|War,1
Comedy|Drama|Romance|War,1
Family|Sci-Fi,1
Fantasy|Thriller,1
Crime|Drama|Fantasy|Romance,1
Comedy|Horror|Mystery,1
Adventure|War|Western,1
Biography|Comedy|Musical|Romance|Western,1
Adventure|Comedy|Musical|Romance,1
Action|Adventure|Comedy|Musical,1
Comedy|Drama|Fantasy|Horror,1
Action|Biography|Crime|Drama|Family|Fantasy,1
Crime|Drama|Mystery|Thriller|Western,1
Adventure|Comedy|Drama|Music,1
Biography|Comedy|Documentary,1
Comedy|Documentary|Music,1
Crime|Drama|History|Romance,1
Comedy|Drama|Horror,1
Drama|Family|Western,1
Biography|Crime|Drama|History|Music,1
Action|Comedy|Crime|Music,1
Comedy|Crime|Drama|Sci-Fi,1
Comedy|Family|Musical|Romance|Short,1
Comedy|Documentary|War,1
Action|Comedy|Horror|Sci-Fi,1
Animation|Comedy|Drama,1
Fantasy|Romance,1
Biography|Documentary|History,1
